"","Gravedad_victima","Fecha_incidente","Hora_incidente","Clase_incidente","Direccion_incidente","Sexo","Edad","Condicion","Mes","Dia","Num_dia","Hora","Grupo_edad","Año","Radicado","Latitud","Longitud","Comuna","Barrio"
"134194","Muertos","3/03/2018","10:50:00","Choque","CL 30 A CR 66 B","M","52","Motociclista","Mar","Sáb",3,"10","50 - 59",2018,10743,"6,232463033","-75,58729095","16 - Belén","Rosales"
"134292","Muertos","4/03/2018","07:50:00","Atropello","CR 52 CL 3 Sur - 10","M","57","Peatón","Mar","Dom",4,"7","50 - 59",2018,10626,"6,206752568","-75,58606625","15 - Guayabal","Cristo Rey"
"134939","Muertos","11/03/2018","10:30:00","Choque","CR 99 AB CL 49 A - 17","M","35","Motociclista","Mar","Dom",11,"10","30 - 39",2018,11279,"6,263882979","-75,61250895","13 - San Javier","Juan XXIII La Quiebra"
"134972","Muertos","11/03/2018","17:00:00","Choque","CR 65 CL 103 C","M","32","Motociclista","Mar","Dom",11,"17","30 - 39",2018,11397,"6,299059877","-75,56671311","05 - Castilla","Girardot"
"135003","Muertos","12/03/2018","05:40:00","Atropello","CL 44 CR 86","M","67","Peatón","Mar","Lun",12,"5","60 - 69",2018,11386,"6,250928682","-75,60521739","12 - La América","La América"
"135045","Muertos","12/03/2018","12:35:00","Atropello","CR 83 entre CL 102 y 103","M","72","Peatón","Mar","Lun",12,"12","70 - 79",2018,11358,"6,304879313","-75,58177012","06 - Doce de Octubre","Doce de Octubre No.1"
"135055","Muertos","12/03/2018","14:30:00","Choque","CR 62 CL 49 - 12","M","18","Acompañante de Motocicleta","Mar","Lun",12,"14","10 - 19",2018,11343,"6,252354311","-75,57762633","10 - La Candelaria","Corazón de Jesús"
"135160","Muertos","13/03/2018","12:36:00","Atropello","CR 51 D entre CL 57 y 58","M","39","Peatón","Mar","Mar",13,"12","30 - 39",2018,11433,"6,221805674","-75,70381574","10 - La Candelaria","Sin Inf"
"135170","Muertos","13/03/2018","15:57:00","Choque","CR 63 CL 47 D","M","29","Motociclista","Mar","Mar",13,"15","20 - 29",2018,11454,"6,251656167","-75,57910299","11 - Laureles Estadio","Suramericana"
"135177","Muertos","13/03/2018","17:19:00","Choque","CR 48 CL 61","F","20","Acompañante de Motocicleta","Mar","Mar",13,"17","20 - 29",2018,11463,"6,257282688","-75,56141351","10 - La Candelaria","Prado"
"135478","Muertos","17/03/2018","04:35:00","Choque","CR 49 entre CL 15 Sur y 16 Sur","F","36","Motociclista","Mar","Sáb",17,"4","30 - 39",2018,11814,"6,193284373","-75,58182472","14 - El Poblado","Santa María de los Ángeles"
"135555","Muertos","18/03/2018","00:20:00","Atropello","CR 76 CL 104 B - 37","M","65","Peatón","Mar","Dom",18,"0","60 - 69",2018,12291,"6,303920846","-75,5745807","06 - Doce de Octubre","Pedregal"
"135709","Muertos","20/03/2018","12:20:00","Choque","CR 70 CL 19","M","71","Ciclista","Mar","Mar",20,"12","70 - 79",2018,50016000206201815040,"6,222776387","-75,5919392","16 - Belén","Parque Juan Pablo II"
"135800","Muertos","21/03/2018","08:10:00","Atropello","CL 47 CR 39 - 45","M","59","Peatón","Mar","Mié",21,"8","60 - 69",2018,12222,"6,242842873","-75,56110093","10 - La Candelaria","Bomboná No. 1"
"136117","Muertos","25/03/2018","03:13:00","Choque","CR 65 CL 21 - 09","M","25","Motociclista","Mar","Dom",25,"3","20 - 29",2018,12454,"6,223626623","-75,58419546","15 - Guayabal","Santa Fé"
"136302","Muertos","27/03/2018","17:30:00","Atropello","CL 41 entre CR 46 y 48","M","87","Peatón","Mar","Mar",27,"17","80 o más",2018,12579,"6,241158714","-75,56965635","10 - La Candelaria","Barrio Colón"
"136325","Muertos","28/03/2018","00:38:00","Choque","CR 45 CL 88 - 136","M","21","Acompañante de Motocicleta","Mar","Mié",28,"0","20 - 29",2018,12589,"6,280479595","-75,55271899","03 - Manrique","Las Granjas"
"136364","Muertos","28/03/2018","14:00:00","Atropello","CR 60 CL 45","M","59","Peatón","Mar","Mié",28,"14","60 - 69",2018,12984,"6,248595634","-75,57794479","10 - La Candelaria","Corazón de Jesús"
"136444","Muertos","29/03/2018","12:50:00","Choque","CR 94 entre CL 38 y 42C","M","32","Motociclista","Mar","Jue",29,"12","30 - 39",2018,12653,"6,251096121","-75,61364007","12 - La América","Campo Alegre"
"136527","Muertos","30/03/2018","22:54:00","Atropello","CR 52 CL 77 - 52","M","Sin Inf","Peatón","Mar","Vie",30,"22","Sin Inf",2018,12722,"6,272203187","-75,56494456","04 - Aranjuez","Jardín Botánico"
"136633","Muertos","1/04/2018","15:30:00","Atropello","Vía 4.1 Km CR 126","F","76","Peatón","Abr","Dom",1,"15","70 - 79",2018,12830,"6,221805674","-75,70381574","60 - Corregimiento de San Cristóbal","Sin Inf"
"136680","Muertos","2/04/2018","11:10:00","Choque","CL 57 entre CR 56 y 57","M","73","Pasajero","Abr","Lun",2,"11","70 - 79",2018,12856,"6,258734615","-75,57381798","10 - La Candelaria","El Chagualo"
"136780","Muertos","3/04/2018","13:40:00","Atropello","CL 44 CR 50","M","76","Peatón","Abr","Mar",3,"13","70 - 79",2018,12902,"6,244380287","-75,56989967","10 - La Candelaria","Guayaquil"
"136862","Muertos","4/04/2018","14:20:00","Atropello","CR 54 CL 46 - 49","F","84","Peatón","Abr","Mié",4,"14","80 o más",2018,12982,"6,248282396","-75,57259374","10 - La Candelaria","Guayaquil"
"136980","Muertos","5/04/2018","22:00:00","Atropello","CL 53 CR 54 - 154","F","69","Peatón","Abr","Jue",22,"22","70 - 79",2018,13016,"6,254449372","-75,57159824","10 - La Candelaria","San Benito"
"137042","Muertos","6/04/2018","17:30:00","Choque","CR 44 A CL 39 - 01","M","68","Conductor","Abr","Vie",6,"17","60 - 69",2018,13963,"6,238670327","-75,568969","10 - La Candelaria","San Diego"
"137147","Muertos","8/04/2018","04:30:00","Atropello","CR 50 CL 25 - 22","M","22","Peatón","Abr","Dom",8,"4","20 - 29",2018,13361,"6,225350052","-75,57668028","15 - Guayabal","Santa Fé"
"137215","Muertos","8/04/2018","16:00:00","Choque","CL 64 A CR 106 - 151","M","28","Motociclista","Abr","Dom",8,"16","20 - 29",2018,13234,"6,28062793","-75,61707164","60 - Corregimiento de San Cristóbal","Área de Expansión Pajarito"
"137361","Muertos","10/04/2018","14:40:00","Choque","CL 29 entre CR 44 y 45","M","62","Motociclista","Abr","Mar",10,"14","60 - 69",2018,13489,"6,2304372","-75,57313164","14 - El Poblado","Perpetuo Socorro"
"137523","Muertos","12/04/2018","15:40:00","Atropello","CL 48 CR 80 - 36","M","73","Peatón","Abr","Jue",12,"15","70 - 79",2018,13562,"6,258951992","-75,59771294","12 - La América","Calasanz"
"137849","Muertos","16/04/2018","19:20:00","Atropello","CR 80 CL 33 AA - 18","F","65","Peatón","Abr","Lun",16,"19","60 - 69",2018,14037,"6,240075856","-75,60023221","11 - Laureles Estadio","Las Acacias"
"138025","Muertos","18/04/2018","20:15:00","Atropello","CL 6 Sur CR 51 - 41","F","54","Peatón","Abr","Mié",18,"20","40 - 49",2018,14035,"6,201178945","-75,58020137","15 - Guayabal","Cristo Rey"
"138272","Muertos","22/04/2018","08:00:00","Atropello","CR 46 CL 52","M","49","Peatón","Abr","Dom",22,"8","50 - 59",2018,50016000206201815040,"6,249259186","-75,56463793","10 - La Candelaria","La Candelaria"
"138491","Muertos","24/04/2018","22:23:00","Choque","CL 63 DG 145 - 137","M","22","Motociclista","Abr","Mar",24,"22","20 - 29",2018,14494,"6,221805674","-75,70381574","60 - Corregimiento de San Cristóbal","Sin Inf"
"138576","Muertos","25/04/2018","20:50:00","Choque","CR 52 CL 31 y 33","M","47","Motociclista","Abr","Mié",25,"20","40 - 49",2018,14562,"6,231915946","-75,57794474","16 - Belén","Cerro Nutibara"
"138592","Muertos","25/04/2018","23:15:00","Atropello","CR 32 CL 101 - 59","F","17","Peatón","Abr","Mié",25,"23","10 - 19",2018,14770,"6,289713657","-75,54287672","01 - Popular","Aldea Pablo VI"
"139007","Muertos","1/05/2018","11:45:00","Choque","CR 50 CL 24","M","22","Motociclista","May","Mar",1,"11","20 - 29",2018,14911,"6,221805674","-75,70381574","15 - Guayabal","Sin Inf"
"139258","Muertos","4/05/2018","01:40:00","Atropello","CL 59 CR 53","M","55","Peatón","May","Vie",4,"1","50 - 59",2018,15085,"6,258277953","-75,56858645","10 - La Candelaria","Jesús Nazareno"
"139337","Muertos","4/05/2018","21:00:00","Atropello","CRA 64 C CL 74 - 03","M","Sin Inf","Peatón","May","Vie",4,"21","60 - 69",2018,15133,"6,272575405","-75,57335582","05 - Castilla","Caribe"
"139406","Muertos","5/05/2018","19:00:00","Atropello","CL 62 CR 110","M","51","Peatón","May","Sáb",5,"19","50 - 59",2018,15195,"6,221805674","-75,70381574","60 - Corregimiento de San Cristóbal","Sin Inf"
"139441","Muertos","6/05/2018","03:15:00","Choque","CL 93 CR 69 A","M","27","Motociclista","May","Dom",6,"3","20 - 29",2018,15279,"6,287656341","-75,57401011","05 - Castilla","Castilla"
"139545","Muertos","7/05/2018","18:00:00","Choque","CR 51 CL 64","M","44","Motociclista","May","Lun",7,"18","40 - 49",2018,NA,"6,260525066","-75,56456781","10 - La Candelaria","Prado"
"139561","Muertos","7/05/2018","20:20:00","Choque","CL 93 EE CR 55","M","35","Motociclista","May","Lun",7,"20","30 - 39",2018,15338,"6,221805674","-75,70381574","04 - Aranjuez","Sin Inf"
"139781","Muertos","10/05/2018","17:20","Atropello","CL 50 CR 74 - 06","M","83","Peatón","May","Jue",10,"17","80 o más",2018,15819,"6,260460361","-75,590171","11 - Laureles Estadio","Cuarta Brigada"
"139806","Muertos","10/05/2018","22:50","Choque","CL 44 CR 74","M","24","Conductor","May","Jue",10,"22","20 - 29",2018,16072,"6,249823982","-75,59346505","11 - Laureles Estadio","Florida Nueva"
"139907","Muertos","11/05/2018","23:10:00","Choque","CR 54 CL 24","M","27","Motociclista","May","Vie",11,"23","20 - 29",2018,19614,"6,22549741","-75,58027191","15 - Guayabal","Santa Fé"
"139970","Muertos","12/05/2018","20:10:00","Atropello","CR 57 entre CL 45 y 46","F","32","Peatón","May","Sáb",12,"20","30 - 39",2018,17121,"6,247604859","-75,57515117","10 - La Candelaria","Guayaquil"
"139971","Muertos","12/05/2018","20:10:00","Atropello","CR 57 entre CL 45 y 46","F","74","Peatón","May","Sáb",12,"20","70 - 79",2018,17121,"6,247604859","-75,57515117","10 - La Candelaria","Guayaquil"
"139992","Muertos","13/05/2018","03:30:00","Choque","CR 45 CL 77 - 48","M","19","Motociclista","May","Dom",13,"3","10 - 19",2018,15745,"6,270109132","-75,55455951","03 - Manrique","Campo Valdés No. 2"
"140073","Muertos","14/05/2018","07:40:00","Choque","CR 52 CL 31 - 83","M","24","Motociclista","May","Lun",14,"7","20 - 29",2018,16153,"6,234831745","-75,57509491","16 - Belén","Cerro Nutibara"
"140078","Muertos","14/05/2018","11:50","Atropello","CL 34 B CR 94 - 23","F","89","Peatón","May","Lun",14,"11","80 o más",2018,16160,"6,244919884","-75,61971279","13 - San Javier","Belencito"
"140262","Muertos","16/05/2018","23:30","Choque","CR 62 CL 86 AA - 23","M","44","Motociclista","May","Mié",16,"23","40 - 49",2018,16047,"6,221805674","-75,70381574","04 - Aranjuez","Sin Inf"
"140442","Muertos","19/05/2018","09:30","Atropello","CR 29 CL 107 D - 19","M","78","Peatón","May","Sáb",19,"9","70 - 79",2018,21266,"6,221805674","-75,70381574","01 - Popular","Sin Inf"
"140494","Muertos","19/05/2018","23:20:00","Choque","Vía Santa Elena KM 12 + 560 MTS","M","50","Motociclista","May","Sáb",19,"23","50 - 59",2018,16265,"6,232552779","-75,50666858","90 - Corregimiento de Santa Elena","Sin Inf"
"140796","Muertos","23/05/2018","18:50","Choque","CR 62 CL 67","M","33","Motociclista","May","Mié",23,"18","30 - 39",2018,16577,"6,26511008","-75,57160253","04 - Aranjuez","Universidad de Antioquia"
"140891","Muertos","24/05/2018","21:10","Choque","CL 44 CR 63 D - 37","M","20","Motociclista","May","Jue",24,"21","20 - 29",2018,16759,"6,248159761","-75,58216309","11 - Laureles Estadio","San Joaquín"
"140909","Muertos","25/05/2018","04:30:00","Choque","CL 45 CR 15 A - 80","M","21","Motociclista","May","Vie",25,"4","20 - 29",2018,16827,"6,231308559","-75,54462535","09 - Buenos Aires","Los Cerros El Vergel"
"140976","Muertos","25/05/2018","19:45:00","Choque","CL 70 A Sur CR 65 B","M","18","Motociclista","May","Vie",25,"19","10 - 19",2018,50016000206201815040,"6,167575399","-75,64612773","80 - Corregimiento de San Antonio de Prado","Cabecera San Antonio de Prado"
"141005","Muertos","26/05/2018","09:40:00","Atropello","CR 46 CL 50","M","72","Peatón","May","Sáb",26,"9","70 - 79",2018,20855,"6,24834881","-75,56520664","10 - La Candelaria","La Candelaria"
"141060","Muertos","26/05/2018","19:13","Choque","CR 64 C CL 92 F - 04","M","32","Motociclista","May","Sáb",26,"19","30 - 39",2018,16791,"6,285559636","-75,57041659","05 - Castilla","Oleoducto"
"141139","Muertos","28/05/2018","00:05:00","Atropello","CR 46 CL 52","M","Sin Inf","Peatón","May","Lun",28,"0","40 - 49",2018,16854,"6,249259186","-75,56463793","10 - La Candelaria","La Candelaria"
"141179","Muertos","28/05/2018","12:45:00","Choque","CL 57 CR 28","M","21","Pasajero","May","Lun",28,"12","20 - 29",2018,16885,"6,24832324","-75,54844243","08 - Villa Hermosa","Enciso"
"141343","Muertos","30/05/2018","10:55:00","Choque","CR 32 CL 80","F","34","Motociclista","May","Mié",30,"10","30 - 39",2018,17031,"6,271175644","-75,54532826","03 - Manrique","Oriente"
"141520","Muertos","1/06/2018","09:45:00","Atropello","CR 84 CL 45 B - 53","M","75","Peatón","Jun","Vie",1,"9","70 - 79",2018,19811,"6,253373807","-75,60349806","12 - La América","La Floresta"
"141564","Muertos","1/06/2018","20:30:00","Atropello","CR 77 E CL 114 - 47","F","63","Peatón","Jun","Vie",1,"20","60 - 69",2018,17235,"6,310118183","-75,57387163","06 - Doce de Octubre","Santander"
"141567","Muertos","1/06/2018","21:38:00","Atropello","CR 66 B CL 42 C","M","51","Peatón","Jun","Vie",1,"21","50 - 59",2018,17222,"6,24523183","-75,58448129","11 - Laureles Estadio","San Joaquín"
"142122","Muertos","8/06/2018","16:30:00","Atropello","CR 76 A CL 103 C - 18","F","62","Peatón","Jun","Vie",8,"16","60 - 69",2018,17803,"6,301376489","-75,57505681","06 - Doce de Octubre","Pedregal"
"142311","Muertos","10/06/2018","23:36:00","Choque","CR 87 CL 47 F","M","31","Motociclista","Jun","Dom",10,"23","30 - 39",2018,17912,"6,259283512","-75,60421827","12 - La América","Santa Lucía"
"142312","Muertos","11/06/2018","03:00:00","Choque","CR 50 CL 13","M","22","Motociclista","Jun","Lun",11,"3","20 - 29",2018,17914,"6,217028698","-75,57821665","15 - Guayabal","Santa Fé"
"142443","Muertos","12/06/2018","13:20:00","Choque","CR 50 CL 40","M","Sin Inf","Ciclista","Jun","Mar",12,"13","60 - 69",2018,18009,"6,240673493","-75,57137718","10 - La Candelaria","Barrio Colón"
"142743","Muertos","15/06/2018","17:10:00","Atropello","CR 36 CL 89 A - 95","M","61","Peatón","Jun","Vie",15,"17","60 - 69",2018,18349,"6,281302699","-75,54566895","03 - Manrique","Las Granjas"
"142755","Muertos","15/06/2018","18:40:00","Atropello","CR 80 CL 64 A","F","Sin Inf","Peatón","Jun","Vie",15,"18","40 - 49",2018,18258,"6,273389174","-75,59302127","06 - Doce de Octubre","Facultad de Minas U. Nacional"
"142944","Muertos","18/06/2018","07:10:00","Choque","CL 27 CR 77 - 27","M","24","Motociclista","Jun","Lun",18,"7","20 - 29",2018,18422,"6,228939086","-75,59712251","16 - Belén","San Bernardo"
"143025","Muertos","19/06/2018","07:05:00","Atropello","CL 58 CR 36 - 31","M","75","Peatón","Jun","Mar",19,"7","70 - 79",2018,31674,"6,249542218","-75,55386048","08 - Villa Hermosa","Enciso"
"143074","Muertos","19/06/2018","20:20:00","Atropello","CL 58 CR 47 - 39","M","Sin Inf","Peatón","Jun","Mar",19,"20","30 - 39",2018,18570,"6,254746116","-75,56219871","10 - La Candelaria","Villa Nueva"
"143121","Muertos","20/06/2018","11:23:00","Choque","CR 50 A CL 118 - 15","M","15","Motociclista","Jun","Mié",20,"11","10 - 19",2018,18608,"6,303870265","-75,55303206","02 - Santa Cruz","Pablo VI"
"143274","Muertos","22/06/2018","06:40:00","Atropello","CL 101 CR 33 D - 06","M","92","Peatón","Jun","Vie",22,"6","80 o más",2018,19128,"6,291103656","-75,54352827","01 - Popular","Granizal"
"143633","Muertos","25/06/2018","19:20:00","Atropello","CR 72 C CL 80 B - 25","F","86","Peatón","Jun","Lun",25,"19","80 o más",2018,19098,"6,2812809","-75,57875251","07 - Robledo","Córdoba"
"143641","Muertos","25/06/2018","21:30:00","Choque","CR 55 entre CL 30 A y 32 D","M","28","Motociclista","Jun","Lun",25,"21","20 - 29",2018,19097,"6,233005102","-75,57950179","16 - Belén","Cerro Nutibara"
"143767","Muertos","27/06/2018","19:20:00","Atropello","CR 44 CL 28 - 37","F","45","Peatón","Jun","Mié",27,"19","40 - 49",2018,19266,"6,228402568","-75,571814","14 - El Poblado","Barrio Colombia"
"143913","Muertos","29/06/2018","19:00:00","Atropello","CL 53 CR 56","M","Sin Inf","Peatón","Jun","Vie",29,"19","40 - 49",2018,19464,"6,175193877","-75,63830443","10 - La Candelaria","Cabecera San Antonio de Prado"
"143940","Muertos","30/06/2018","09:50:00","Atropello","CR 44 CL 38 - 37","M","78","Peatón","Jun","Sáb",30,"9","70 - 79",2018,19519,"6,237863461","-75,5693459","10 - La Candelaria","San Diego"
"144085","Muertos","2/07/2018","06:47","Choque","Tunel de occidente KM 4,1+372","M","21","Motociclista","Jul","Lun",2,"6","20 - 29",2018,19741,"6,221805674","-75,70381574","60 - Corregimiento de San Cristóbal","Sin Inf"
"144086","Muertos","2/07/2018","06:47:00","Choque","Tunel de occidente KM 4,1+372","M","41","Motociclista","Jul","Lun",2,"6","40 - 49",2018,19741,"6,221805674","-75,70381574","60 - Corregimiento de San Cristóbal","Sin Inf"
"144101","Muertos","2/07/2018","13:00:00","Atropello","Cr 72 C CL 82","M","59","Peatón","Jul","Lun",2,"13","60 - 69",2018,19830,"6,282243987","-75,57853534","06 - Doce de Octubre","Córdoba"
"144360","Muertos","5/07/2018","14:45:00","Atropello","CR 38 CL - 40 - 66","F","82","Peatón","Jul","Jue",5,"14","80 o más",2018,80190,"6,238595114","-75,56140044","09 - Buenos Aires","El Salvador"
"144362","Muertos","5/07/2018","16:30:00","Choque","CL 68 B CR 31 A","M","11","Ciclista","Jul","Jue",5,"16","10 - 19",2018,50016000206201880576,"6,221805674","-75,70381574","03 - Manrique","Sin Inf"
"144394","Muertos","6/07/2018","04:00:00","Choque","CR 45 CL 88 - 130","F","18","Motociclista","Jul","Vie",6,"4","10 - 19",2018,19957,"6,263181672","-75,54467219","03 - Manrique","Versalles No. 1"
"144414","Muertos","6/07/2018","12:15:00","Atropello","CR 57 CL 45 A - 21","M","64","Peatón","Jul","Vie",6,"12","60 - 69",2018,19984,"6,248542719","-75,57511939","10 - La Candelaria","Corazón de Jesús"
"144474","Muertos","7/07/2018","07:30:00","Atropello","CL 45 CR 30 - 61","M","84","Peatón","Jul","Sáb",7,"7","80 o más",2018,20200,"6,23796463","-75,55448381","09 - Buenos Aires","Buenos Aires"
"144585","Muertos","8/07/2018","18:30:00","Atropello","Se desoce","M","79","Peatón","Jul","Dom",8,"18","80 o más",2018,20129,"Sin Inf","Sin Inf","Sin Inf","Sin Inf"
"144775","Muertos","11/07/2018","07:55:00","Choque","CR 50 CL 29","M","31","Motociclista","Jul","Mié",11,"7","30 - 39",2018,20435,"6,231278199","-75,57528013","15 - Guayabal","Santa Fé"
"144849","Muertos","12/07/2018","05:40:00","Atropello","CR 43 CL 44 - 85","M","64","Peatón","Jul","Jue",12,"5","60 - 69",2018,20558,"6,242700228","-75,56510789","10 - La Candelaria","Bomboná No. 1"
"144874","Muertos","12/07/2018","08:45:00","Atropello","CR 64 CL 63","F","69","Peatón","Jul","Jue",12,"8","70 - 79",2018,21276,"6,258269603","-75,57181765","07 - Robledo","Universidad Nacional"
"145025","Muertos","14/07/2018","08:00:00","Choque","CR 32 CL 106 B","F","42","Motociclista","Jul","Sáb",14,"8","40 - 49",2018,20726,"6,294617511","-75,54160996","01 - Popular","Santo Domingo Savio No. 1"
"145249","Muertos","17/07/2018","06:45","Atropello","CR 81 CL 43 B - 23","F","55","Peatón","Jul","Mar",17,"6","50 - 59",2018,21028,"6,252186655","-75,60163553","12 - La América","Los Pinos"
"145682","Muertos","21/07/2018","17:50:00","Atropello","CR 77 CL 27","M","56","Peatón","Jul","Sáb",21,"17","50 - 59",2018,22958,"6,229255326","-75,59704483","11 - Laureles Estadio","San Bernardo"
"146524","Muertos","31/07/2018","16:35:00","Atropello","CL 58 CR 63","M","77","Peatón","Jul","Mar",31,"16","70 - 79",2018,23368,"6,261268114","-75,57398445","13 - San Javier","Universidad Nacional"
"146618","Muertos","1/08/2018","15:20","Caida Ocupante","CL 50 CR 70","F","67","Pasajero","Ago","Mié",15,"15","60 - 69",2018,22283,"6,258539078","-75,58611486","11 - Laureles Estadio","Cuarta Brigada"
"146824","Muertos","4/08/2018","01:50:00","Choque","CL 34 B CR 111 C","M","22","Motociclista","Ago","Sáb",1,"1","20 - 29",2018,22496,"6,246819079","-75,62333141","13 - San Javier","El Corazón"
"146929","Muertos","5/08/2018","04:10","Choque","CR 65 CL 81","M","20","Motociclista","Ago","Dom",4,"4","20 - 29",2018,22575,"6,276299355","-75,5733641","05 - Castilla","Terminal de Transporte"
"146930","Muertos","5/08/2018","04:10:00","Choque","CR 65 CL 81","F","21","Acompañante de Motocicleta","Ago","Dom",4,"4","20 - 29",2018,22575,"6,276299355","-75,5733641","05 - Castilla","Terminal de Transporte"
"147070","Muertos","7/08/2018","04:15:00","Choque","CL 120 CR 63","M","33","Motociclista","Ago","Mar",4,"4","30 - 39",2018,22728,"6,310698696","-75,55748709","05 - Castilla","Toscana"
"147413","Muertos","11/08/2018","16:15:00","Choque","CL 57 B CR 54","M","59","Ciclista","Ago","Sáb",16,"16","50 - 59",2018,23120,"6,256660512","-75,56971711","10 - La Candelaria","Estación Villa"
"147516","Muertos","12/08/2018","19:15:00","Atropello","CR 64 C CL 91 A","F","54","Peatón","Ago","Dom",19,"19","50 - 59",2018,23228,"6,282336509","-75,5720376","05 - Castilla","Alfonso López"
"147596","Muertos","13/08/2018","17:00:00","Atropello","CR 65 CL 67","M","59","Peatón","Ago","Lun",17,"17","50 - 59",2018,23317,"6,268025089","-75,57675703","05 - Castilla","Caribe"
"147929","Muertos","17/08/2018","09:40:00","Atropello","CR 46 CL 53","F","80","Peatón","Ago","Vie",9,"9","80 o más",2018,23563,"6,250656753","-75,56385582","10 - La Candelaria","La Candelaria"
"147994","Muertos","18/08/2018","05:40:00","Choque","Av 80 CL 3 SUR","F","21","Acompañante de Motocicleta","Ago","Sáb",5,"5","20 - 29",2018,23604,"6,206987729","-75,5890905","15 - Guayabal","Sin Inf"
"148098","Muertos","19/08/2018","11:10:00","Atropello","CL 58 CR 54","M","Sin Inf","Peatón","Ago","Dom",11,"11","Sin Inf",2018,23727,"6,257494045","-75,56956823","10 - La Candelaria","Jesús Nazareno"
"148107","Muertos","19/08/2018","14:27:00","Choque","Vía Las Palmas KM 9 + 210 mts","M","17","Ciclista","Ago","Dom",14,"14","10 - 19",2018,23733,"6,195169733","-75,54735533","90 - Corregimiento de Santa Elena","Sin Inf"
"148118","Muertos","19/08/2018","19:37:00","Atropello","CL 33 CR 81","M","76","Peatón","Ago","Dom",19,"19","70 - 79",2018,23774,"6,238766579","-75,60330826","11 - Laureles Estadio","La Castellana"
"148123","Muertos","19/08/2018","21:05:00","Choque","CL 56 CR 29","M","16","Motociclista","Ago","Dom",21,"21","10 - 19",2018,23769,"6,246798499","-75,54932242","08 - Villa Hermosa","Sucre"
"148291","Muertos","21/08/2018","23:30:00","Atropello","CR 43 A CL 7 D","M","25","Motociclista","Ago","Mar",23,"23","20 - 29",2018,23943,"6,208389102","-75,57125329","14 - El Poblado","El Poblado"
"148501","Muertos","24/08/2018","07:30:00","Choque","CR 43 G CL 27","M","57","Motociclista","Ago","Vie",7,"7","50 - 59",2018,24111,"6,22735071","-75,57164569","14 - El Poblado","Barrio Colombia"
"148965","Muertos","30/08/2018","00:50:00","Choque","CR 82 A CL 20","M","17","Motociclista","Ago","Jue",0,"0","10 - 19",2018,25710,"6,225257644","-75,60589433","16 - Belén","La Palma"
"149103","Muertos","31/08/2018","21:07:00","Choque","CR 10 CL 10 A","F","14","Ciclista","Ago","Vie",21,"21","10 - 19",2018,24649,"6,208414738","-75,54568172","90 - Corregimiento de Santa Elena","Las Palmas"
"149215","Muertos","2/09/2018","05:20:00","Choque","Ruta 62 - 04A Km 2 + 33","M","33","Motociclista","Sept","Dom",5,"5","30 - 39",2018,24731,"Sin Inf","Sin Inf","50 - Corregimiento de San Sebastián de Palmitas","Sin Inf"
"149339","Muertos","3/09/2018","21:00","Choque","CL 31 B CR 89 E","M","23","Motociclista","Sept","Lun",21,"21","20 - 29",2018,21822,"6,234652986","-75,61600621","16 - Belén","Las Violetas"
"149524","Muertos","5/09/2018","15:41:00","Choque","CR 62 CL 73","M","48","Ciclista","Sept","Mié",15,"15","40 - 49",2018,24984,"6,275771443","-75,56922931","04 - Aranjuez","Moravia"
"149544","Muertos","5/09/2018","18:25:00","Caida Ocupante","CR 78 CL 32 E","M","39","Motociclista","Sept","Mié",18,"18","30 - 39",2018,26869,"6,237204274","-75,59828372","16 - Belén","El Nogal-Los Almendros"
"149636","Muertos","6/09/2018","19:04","Atropello","CR 63 CL 36","M","33","Peatón","Sept","Jue",19,"19","30 - 39",2018,25072,"6,241400746","-75,57881678","11 - Laureles Estadio","Los Conquistadores"
"149944","Muertos","10/09/2018","14:50:00","Atropello","CR 43 A CL 34","M","81","Peatón","Sept","Lun",14,"14","80 o más",2018,25733,"6,23452408","-75,57019083","10 - La Candelaria","San Diego"
"149957","Muertos","10/09/2018","17:05:00","Choque","CR 63 CL 94 A","M","26","Motociclista","Sept","Lun",17,"17","20 - 29",2018,80264,"6,286807427","-75,56672852","05 - Castilla","Tricentenario"
"150023","Muertos","11/09/2018","15:54:00","Atropello","CL 53 CR 51","M","79","Peatón","Sept","Mar",15,"15","70 - 79",2018,25313,"6,252504891","-75,56778081","10 - La Candelaria","La Candelaria"
"150178","Muertos","13/09/2018","13:00:00","Atropello","CL 44 CR 78","M","78","Peatón","Sept","Jue",13,"13","70 - 79",2018,26441,"6,250164793","-75,59687292","12 - La América","Los Pinos"
"150235","Muertos","14/09/2018","06:05:00","Choque","CR 63 CL 47 D","M","39","Motociclista","Sept","Vie",6,"6","30 - 39",2018,25496,"6,250472842","-75,57972479","11 - Laureles Estadio","Naranjal"
"150262","Muertos","14/09/2018","09:10:00","Atropello","CL 44 CR 86","M","76","Peatón","Sept","Vie",9,"9","70 - 79",2018,25509,"6,250928682","-75,60521739","12 - La América","La América"
"150291","Muertos","14/09/2018","15:44:00","Atropello","CL 53 CR 51","F","79","Peatón","Sept","Vie",15,"15","70 - 79",2018,25521,"6,252504891","-75,56778081","10 - La Candelaria","La Candelaria"
"150472","Muertos","17/09/2018","07:01:00","Choque","CR 63 CR 98","M","24","Motociclista","Sept","Lun",7,"7","20 - 29",2018,25711,"6,292393125","-75,56385869","05 - Castilla","Santa Margarita"
